1456,2064,0:0
1456,2068,0:1
1456,2069,0:2
1456,2071,0:3
1456,2074,0:4
1456,2077,0:5
1456,2079,0:6
1456,2081,0:7
1456,2050,1:0
1456,2065,1:1
1456,2070,1:2
1456,2072,1:3
1456,2075,1:4
1456,2078,1:5
1456,2080,1:6
1456,2051,2:0
1456,2052,2:1
1456,2066,2:2
1456,2073,2:3
1456,2076,2:4
1456,2084,2:5
1456,2053,3:0
1456,2054,3:1
1456,2055,3:2
1456,2067,3:3
1456,2082,3:4
1456,2056,4:0
1456,2057,4:1
1456,2058,4:2
1456,2083,4:3
1456,2059,5:0
1456,2060,5:1
1456,2085,5:2
1456,2061,6:0
1456,2062,6:1
1456,2063,7:0
1456,2049,Others
1457,1984,ID of the competitor
1458,1967,ID of the competitor/team
1459,1968,ID of the competitor/team
1460,2289,1
1460,2290,2
1460,2288,None
1461,2087,1
1461,2088,2
1461,2086,None
1462,2291,1
1462,2293,2
1462,2292,X
1463,1525,1
1463,1527,2
1463,1526,X
1464,1985,1
1464,1987,2
1464,1986,X
1465,2209,1
1465,2211,2
1465,2210,X
1466,1447,1
1466,1449,2
1466,1448,X
1467,2295,No
1467,2294,Yes
1468,2090,No
1468,2089,Yes
1469,1988,1/1
1469,1994,1/2
1469,1991,1/X
1469,1990,2/1
1469,1996,2/2
1469,1993,2/X
1469,1989,X/1
1469,1995,X/2
1469,1992,X/X
1470,2296,1/1
1470,2302,1/2
1470,2299,1/X
1470,2298,2/1
1470,2304,2/2
1470,2301,2/X
1470,2297,X/1
1470,2303,X/2
1470,2300,X/X
1471,1528,1/1
1471,1534,1/2
1471,1531,1/X
1471,1530,2/1
1471,1536,2/2
1471,1533,2/X
1471,1529,X/1
1471,1535,X/2
1471,1532,X/X
1472,2212,1/1
1472,2218,1/2
1472,2215,1/X
1472,2214,2/1
1472,2220,2/2
1472,2217,2/X
1472,2213,X/1
1472,2219,X/2
1472,2216,X/X
1473,1450,1/1
1473,1456,1/2
1473,1453,1/X
1473,1452,2/1
1473,1458,2/2
1473,1455,2/X
1473,1451,X/1
1473,1457,X/2
1473,1454,X/X
1474,1998,Even
1474,1997,Odd
1475,2306,Even
1475,2305,Odd
1476,2092,Even
1476,2091,Odd
1477,1693,Even
1477,1692,Odd
1478,1538,Even
1478,1537,Odd
1479,2222,Even
1479,2221,Odd
1480,1460,Even
1480,1459,Odd
1481,2308,12
1481,2307,1X
1481,2309,X2
1482,2094,12
1482,2093,1X
1482,2095,X2
1483,2000,12
1483,1999,1X
1483,2001,X2
1484,2310,1
1484,2311,2
1485,2096,1
1485,2097,2
1486,2002,1
1486,2003,2
1487,2312,0
1487,2313,1
1487,2314,2
1487,2315,3+
1488,2316,0
1488,2317,1
1488,2318,2
1488,2319,3+
1489,1969,ID of the three competitors/teams
1490,2320,1
1490,2321,2
1491,2246,1
1491,2247,2
1492,2098,1
1492,2099,2
1493,2004,1
1493,2005,2
1494,2891,1
1494,2892,2
1495,1664,1
1495,1665,2
1496,2223,1
1496,2224,2
1497,1539,1
1497,1540,2
1498,2322,Over
1498,2323,Under
1499,2248,Over
1499,2249,Under
1500,1541,Over
1500,1542,Under
1501,2100,Over
1501,2101,Under
1502,2006,Over
1502,2007,Under
1503,1694,Over
1503,1695,Under
1504,2324,1
1504,2325,2
1505,2008,1
1505,2009,2
1506,1543,1
1506,1544,2
1507,2225,1
1507,2226,2
1508,1461,1
1508,1462,2
1509,2326,Over
1509,2327,Under
1510,1545,Over
1510,1546,Under
1511,2010,Over
1511,2011,Under
1512,1463,Over
1512,1464,Under
1513,2328,1
1513,2330,2
1513,2329,X
1514,1547,1
1514,1549,2
1514,1548,X
1515,2102,1
1515,2104,2
1515,2103,X
1516,2331,Over
1516,2332,Under
1517,2105,Over
1517,2106,Under
1518,2333,<PLAYER ID>
1518,2334,N
1519,2336,0-1 goals
1519,2337,2-3 goals
1519,2338,4-5 goals
1519,2335,6+
1520,2343,0:0
1520,2346,0:1
1520,2347,0:2
1520,2340,1:0
1520,2344,1:1
1520,2348,1:2
1520,2341,2:0
1520,2342,2:1
1520,2345,2:2
1520,2339,Others
1521,1780,1
1521,1781,2
1522,2870,1
1522,2871,2
1523,2250,1
1523,2251,2
1524,2893,1
1524,2894,2
1525,1666,1
1525,1667,2
1526,2872,2 sets
1526,2873,3 sets
1527,1668,2 sets
1527,1669,3 sets
1528,2349,1st
1528,2350,2nd
1528,2351,Equal
1529,2012,1st
1529,2013,2nd
1529,2014,Equal
1530,2227,1st
1530,2228,2nd
1530,2229,Equal
1531,2357,Over and away
1531,2356,Over and draw
1531,2355,Over and home
1531,2354,Under and away
1531,2353,Under and draw
1531,2352,Under and home
1532,1553,Over and away
1532,1552,Over and home
1532,1551,Under and away
1532,1550,Under and home
1533,1503,Over and away
1533,1502,Over and draw
1533,1501,Over and home
1533,1500,Under and away
1533,1499,Under and draw
1533,1498,Under and home
1534,2112,Over and away
1534,2111,Over and draw
1534,2110,Over and home
1534,2109,Under and away
1534,2108,Under and draw
1534,2107,Under and home
1535,2020,Over and away
1535,2019,Over and draw
1535,2018,Over and home
1535,2017,Under and away
1535,2016,Under and draw
1535,2015,Under and home
1536,2363,Awayteam scores first and away
1536,2362,Awayteam scores first and draw
1536,2361,Awayteam scores first and home
1536,2360,Hometeam scores first and away
1536,2359,Hometeam scores first and draw
1536,2358,Hometeam scores first and home
1536,2364,No goal
1537,2113,1
1537,2115,2
1537,2114,X
1538,2116,1
1538,2118,2
1538,2117,X
1539,2119,Over
1539,2120,Under
1540,2121,Over
1540,2122,Under
1541,2123,Over
1541,2124,Under
1542,2126,12
1542,2125,1X
1542,2127,X2
1543,2129,12
1543,2128,1X
1543,2130,X2
1544,2132,12
1544,2131,1X
1544,2133,X2
1545,2135,Even
1545,2134,Odd
1546,2366,Even
1546,2365,Odd
1547,1555,Even
1547,1554,Odd
1548,2231,Even
1548,2230,Odd
1549,1466,Even
1549,1465,Odd
1550,2368,No
1550,2367,Yes
1551,1557,No
1551,1556,Yes
1552,1505,No
1552,1504,Yes
1553,2137,No
1553,2136,Yes
1554,1468,No
1554,1467,Yes
1555,1697,No
1555,1696,Yes
1556,2375,AT > 2
1556,2373,AT 1
1556,2374,AT 2
1556,2370,HT > 2
1556,2372,HT 1
1556,2371,HT 2
1556,2369,X
1557,1563,AT > 10
1557,1561,AT 1-5
1557,1562,AT 6-10
1557,1558,HT > 10
1557,1560,HT 1-5
1557,1559,HT 6-10
1558,1511,AT > 4
1558,1509,AT 1-2
1558,1510,AT 3-4
1558,1506,HT > 4
1558,1508,HT 1-2
1558,1507,HT 3-4
1559,2144,AT > 2
1559,2142,AT 1
1559,2143,AT 2
1559,2139,HT > 2
1559,2141,HT 1
1559,2140,HT 2
1559,2138,X
1560,2027,AT > 10
1560,2025,AT 1-5
1560,2026,AT 6-10
1560,2022,HT > 10
1560,2024,HT 1-5
1560,2023,HT 6-10
1560,2021,X
1561,1475,AT > 14
1561,1473,AT 1-7
1561,1474,AT 8-14
1561,1470,HT > 14
1561,1472,HT 1-7
1561,1471,HT 8-14
1561,1469,X
1562,1564,1
1562,1565,2
1563,1566,1st quarter
1563,1567,2nd quarter
1563,1568,3rd quarter
1563,1569,4th quarter
1563,1570,Equals
1564,1476,1st quarter
1564,1477,2nd quarter
1564,1478,3rd quarter
1564,1479,4th quarter
1564,1480,Equals
1565,1571,1
1565,1573,2
1565,1572,X
1566,1512,1
1566,1514,2
1566,1513,X
1567,1481,1
1567,1483,2
1567,1482,X
1568,1782,Over
1568,1783,Under
1569,2874,Over
1569,2875,Under
1570,2895,Over
1570,2896,Under
1571,1670,Over
1571,1671,Under
1572,2146,1st period
1572,2147,2nd period
1572,2148,3rd period
1572,2145,Equals
1573,2149,1
1573,2150,2
1574,1515,1
1574,1516,2
1575,1484,1
1575,1485,2
1576,2151,Over
1576,2152,Under
1577,1517,Over
1577,1518,Under
1578,1486,Over
1578,1487,Under
1579,1489,Even
1579,1488,Odd
1580,1520,Even
1580,1519,Odd
1581,2876,1
1581,2877,2
1582,2897,1
1582,2898,2
1583,1672,1
1583,1673,2
1584,2878,3 sets
1584,2879,4 sets
1584,2880,5 sets
1585,2899,3 sets
1585,2900,4 sets
1585,2901,5 sets
1586,2883,0:2
1586,2884,1:2
1586,2881,2:0
1586,2882,2:1
1587,1786,0:2
1587,1787,1:2
1587,1784,2:0
1587,1785,2:1
1588,2257,0:3
1588,2256,1:3
1588,2255,2:3
1588,2252,3:0
1588,2253,3:1
1588,2254,3:2
1589,2888,0:3
1589,2889,1:3
1589,2890,2:3
1589,2885,3:0
1589,2886,3:1
1589,2887,3:2
1590,1793,0:3
1590,1792,1:3
1590,1791,2:3
1590,1788,3:0
1590,1789,3:1
1590,1790,3:2
1591,2376,<PLAYER ID>
1591,2377,N
1592,2378,Over
1592,2379,Under
1593,2380,Over
1593,2381,Under
1594,2382,Over
1594,2383,Under
1595,2384,Over
1595,2385,Under
1596,2387,No
1596,2386,Yes
1597,2389,No
1597,2388,Yes
1598,2390,0-1
1598,2391,2
1598,2392,3
1598,2393,4+
1599,2395,0
1599,2396,1
1599,2394,2
1599,2397,3+
1600,2398,0-1
1600,2399,2
1600,2400,3
1600,2401,4+
1601,2403,0
1601,2404,1
1601,2402,2
1601,2405,3+
1602,2407,1
1602,2408,2
1602,2406,None
1603,2410,1
1603,2411,2
1603,2409,None
1604,2412,1
1604,2414,2
1604,2413,X
1605,2415,1
1605,2417,2
1605,2416,X
1606,2418,0-30
1606,2419,31-45
1606,2420,46-60
1606,2421,61-75
1606,2422,76+
1607,2423,0-10
1607,2424,11-25
1607,2425,26-40
1607,2426,41+
1608,2436,0-3
1608,2433,10
1608,2434,11
1608,2435,12+
1608,2427,4
1608,2428,5
1608,2429,6
1608,2430,7
1608,2431,8
1608,2432,9
1609,2439,0
1609,2440,1
1609,2437,2
1609,2438,3
1609,2441,4
1609,2442,5
1609,2443,6+
1610,2445,No
1610,2444,Yes
1611,2447,No
1611,2446,Yes
1612,2449,No
1612,2448,Yes
1613,2451,No
1613,2450,Yes
1614,2452,0
1614,2453,1
1614,2454,2
1614,2455,3
1614,2456,4
1614,2457,5
1614,2458,6+
1615,2459,1
1615,2461,2
1615,2460,X
1616,1574,1
1616,1576,2
1616,1575,X
1617,2028,1
1617,2030,2
1617,2029,X
1618,2462,Over
1618,2463,Under
1619,2464,1
1619,2465,2
1620,1577,1
1620,1578,2
1621,2466,0-0 0-0
1621,2468,0-0 0-1
1621,2471,0-0 0-2
1621,2475,0-0 0-3
1621,2467,0-0 1-0
1621,2470,0-0 1-1
1621,2474,0-0 1-2
1621,2469,0-0 2-0
1621,2473,0-0 2-1
1621,2472,0-0 3-0
1621,2476,0-0 4plus
1621,2484,0-1 0-1
1621,2486,0-1 0-2
1621,2489,0-1 0-3
1621,2485,0-1 1-1
1621,2488,0-1 1-2
1621,2487,0-1 2-1
1621,2490,0-1 4plus
1621,2499,0-2 0-2
1621,2501,0-2 0-3
1621,2500,0-2 1-2
1621,2502,0-2 4plus
1621,2509,0-3 0-3
1621,2510,0-3 4plus
1621,2477,1-0 1-0
1621,2479,1-0 1-1
1621,2482,1-0 1-2
1621,2478,1-0 2-0
1621,2481,1-0 2-1
1621,2480,1-0 3-0
1621,2483,1-0 4plus
1621,2495,1-1 1-1
1621,2497,1-1 1-2
1621,2496,1-1 2-1
1621,2498,1-1 4plus
1621,2507,1-2 1-2
1621,2508,1-2 4plus
1621,2491,2-0 2-0
1621,2493,2-0 2-1
1621,2492,2-0 3-0
1621,2494,2-0 4plus
1621,2505,2-1 2-1
1621,2506,2-1 4plus
1621,2503,3-0 3-0
1621,2504,3-0 4plus
1621,2511,4plus 4plus
1622,2513,No
1622,2512,Yes
1623,2515,No
1623,2514,Yes
1624,2517,1 OT
1624,2516,1 RT
1624,2518,1 SO
1624,2520,2 OT
1624,2519,2 RT
1624,2521,2 SO
1625,2523,No
1625,2522,Yes
1626,2525,No
1626,2524,Yes
1627,2527,1
1627,2528,2
1627,2529,Both teams
1627,2526,None
1628,2530,0
1628,2531,1
1628,2532,2+
1629,2533,0
1629,2534,1
1629,2535,2+
1630,2536,Over
1630,2537,Under
1631,2538,Over
1631,2539,Under
1632,2540,1
1632,2541,2
1633,2542,1
1633,2543,2
1634,2544,1
1634,2546,2
1634,2545,X
1635,2547,1
1635,2549,2
1635,2548,X
1636,2551,Even
1636,2550,Odd
1637,2553,Even
1637,2552,Odd
1638,2555,1
1638,2556,2
1638,2554,None
1639,2558,1
1639,2559,2
1639,2557,None
1640,2560,0-2
1640,2561,3-4
1640,2562,5-6
1640,2563,7+
1641,2564,0-1
1641,2565,2
1641,2566,3
1641,2567,4+
1642,2568,Over
1642,2569,Under
1643,1579,Over
1643,1580,Under
1644,2570,Over
1644,2571,Under
1645,2573,1
1645,2574,2
1645,2572,None
1646,2576,1
1646,2577,2
1646,2575,None
1647,2578,0-2
1647,2579,3-4
1647,2580,5-6
1647,2581,7+
1648,2582,0-1
1648,2583,2
1648,2584,3
1648,2585,4+
1649,2587,1
1649,2588,2
1649,2586,None
1650,2154,1
1650,2155,2
1650,2153,None
1651,2156,1
1651,2158,2
1651,2157,X
1652,2589,0-8
1652,2591,12+
1652,2590,9-11
1653,2594,0-4
1653,2592,5-6
1653,2593,7+
1654,2160,Even
1654,2159,Odd
1655,2162,Even
1655,2161,Odd
1656,2164,Even
1656,2163,Odd
1657,2165,1
1657,2166,2
1658,2167,1
1658,2168,2
1659,2169,1
1659,2170,2
1660,2172,No
1660,2171,Yes
1661,2174,No
1661,2173,Yes
1662,2175,1
1662,2176,2
1663,2177,1
1663,2178,2
1664,2179,1
1664,2180,2
1665,2182,1
1665,2183,2
1665,2181,None
1666,2185,1
1666,2186,2
1666,2184,None
1667,2188,1
1667,2189,2
1667,2187,None
1668,2191,1
1668,2192,2
1668,2190,None
1669,2194,1
1669,2195,2
1669,2193,None
1670,2197,1
1670,2198,2
1670,2196,None
1671,1490,1
1671,1491,2
1672,1492,Over
1672,1493,Under
1673,2200,No
1673,2199,Yes
1674,2596,No
1674,2595,Yes
1675,2598,No
1675,2597,Yes
1676,2600,No
1676,2599,Yes
1677,2602,No
1677,2601,Yes
1678,2604,No
1678,2603,Yes
1679,2606,No
1679,2605,Yes
1680,2608,No
1680,2607,Yes
1681,2610,No
1681,2609,Yes
1682,2032,12
1682,2031,1X
1682,2033,X2
1683,2612,12
1683,2611,1X
1683,2613,X2
1684,1581,1
1684,1582,2
1685,2034,1
1685,2035,2
1686,2614,1
1686,2615,2
1687,2617,1-10
1687,2618,11-20
1687,2619,21-30
1687,2620,31-40
1687,2621,41-50
1687,2622,51-60
1687,2623,61-70
1687,2624,71-80
1687,2625,81-90
1687,2616,None
1688,2627,1-15
1688,2628,16-30
1688,2629,31-45
1688,2630,46-60
1688,2631,61-75
1688,2632,76-90
1688,2626,None
1689,2633,1
1689,2635,2
1689,2634,X
1690,2637,No
1690,2636,Yes
1691,2639,No
1691,2638,Yes
1692,2640,1st
1692,2641,2nd
1692,2642,Equal
1693,2643,1st
1693,2644,2nd
1693,2645,Equal
1694,2658,0:0
1694,2662,0:1
1694,2663,0:2
1694,2665,0:3
1694,2668,0:4
1694,2671,0:5
1694,2673,0:6
1694,2646,1:0
1694,2659,1:1
1694,2664,1:2
1694,2666,1:3
1694,2669,1:4
1694,2672,1:5
1694,2647,2:0
1694,2648,2:1
1694,2660,2:2
1694,2667,2:3
1694,2670,2:4
1694,2649,3:0
1694,2650,3:1
1694,2651,3:2
1694,2661,3:3
1694,2652,4:0
1694,2653,4:1
1694,2654,4:2
1694,2655,5:0
1694,2656,5:1
1694,2657,6:0
1694,2674,other
1695,2037,Even
1695,2036,Odd
1696,2676,Even
1696,2675,Odd
1697,2039,Even
1697,2038,Odd
1698,1584,Even
1698,1583,Odd
1699,2677,1
1699,2678,2
1700,1585,1
1700,1586,2
1701,2040,1
1701,2041,2
1702,2680,12
1702,2679,1X
1702,2681,X2
1703,2043,12
1703,2042,1X
1703,2044,X2
1704,2905,0:3
1704,2906,1:3
1704,2907,2:3
1704,2902,3:0
1704,2903,3:1
1704,2904,3:2
1705,2912,0 sets
1705,2913,1 sets
1705,2908,2 sets
1705,2909,3 sets
1705,2910,4 sets
1705,2911,5 sets
1706,1676,0 sets
1706,1677,1 sets
1706,1674,2 sets
1706,1675,3 sets
1707,1794,Player 1
1707,1795,Player 2
1708,2914,1
1708,2915,2
1709,1678,1
1709,1679,2
1710,1796,Over
1710,1797,Under
1711,2916,Over
1711,2917,Under
1712,1680,Over
1712,1681,Under
1713,2918,1
1713,2919,2
1714,1682,1
1714,1683,2
1715,2921,Even
1715,2920,Odd
1716,1685,Even
1716,1684,Odd
1717,2922,1
