1672,2nd Half - Total Spreads (incl. Overtime)
1673,1st Period - Both teams to score
1674,Home to win both halves?
1675,Home to win either half?
1676,Home to score in both halves?
1677,Away to win both halves?
1678,Away to win either half?
1679,Away to score in both halves?
1680,Both halves over 1.5?
1681,Both halves under 1.5?
1682,1st Half - Double Chance
1683,1st Half Double Chance
1684,1st Half - Draw no bet
1685,1st half - Draw no bet
1686,1st Half Draw no Bet
1687,First goal interval 10 min
1688,First goal interval 15 min
1689,First 10 minutes -3 way
1690,1st Half - Both Teams to Score
1691,2nd Half - Both score
1692,Highest Scoring Half Hometeam
1693,Highest Scoring Half Awayteam
1694,CorrectScore
1695,1st Half - Odd / Even
1696,2nd Half - Odd / Even
1697,2nd Half - Odd / Even
1698,2nd Half - Odd/Even Points
1699,2nd half - Draw no bet
1700,2nd Half - Draw no bet
1701,2nd half - Draw no bet
1702,2nd half - Double Chance
1703,2nd half - Double Chance
1704,Correct Set Score
1705,How many sets will exceed score limit?
1706,How many sets will exceed score limit?
1707,1st Set – Leg Handicap
1708,1st Set Handicap
1709,1st Set Handicap
1710,1st Set – Leg Total
1711,1st Set Total
1712,1st Set Total
1713,1st Set Race to X
1714,1st Set Race to X
1715,1st Set Odd/even
1716,1st Set Odd/even
1717,Who wins third set
1718,Who wins third set
1719,Who wins fourth set
1720,Who wins fifth set
1721,5th Set Played?
1722,Total margins NBA-ranges
1723,Total margins Regular-ranges
1724,Correct Set Score
1725,4th Set Played?
1726,Totals Away BB
1727,Visiting Team
1728,Totals Away
1729,Totals Away
1730,Totals away team
1731,Totals Away Team (excl. superovers)
1732,Totals Away
1733,Totals Home BB
1734,Home Team
1735,Totals Home
1736,Totals Home
1737,Totals home team
1738,Totals Home Team (excl. superovers)
1739,Totals Home
1740,1st Quarter 1X2
1741,2nd Quarter - 1X2
1742,3rd Quarter - 1X2
1743,4th Quarter - 1X2
1744,1st Quarter - Draw no bet
1745,2nd Quarter - Draw no bet
1746,3rd Quarter - Draw no bet
1747,4th Quarter - Draw no bet
1748,1st Quarter - Total Spread
1749,2nd Quarter - Total Spread
1750,3rd Quarter - Total Spread
1751,4th Quarter - Total Spread
1752,1st Quarter - Points Spread
1753,2nd Quarter - Points Spread
1754,3rd Quarter - Points Spread
1755,4th Quarter - Points Spread
1756,1st Quarter - Odd/Even Points
1757,2nd Quarter - Odd/Even Points
1758,3rd Quarter - Odd/Even Points
1759,4th Quarter - Odd/Even Points
1760,First to x points
1761,Total AAMS
1762,Total 3way
1763,Totals (incl. OT)
1764,2way (incl. OT)
1765,Winning Margins Rugby Union
1766,Winning Margins Rugby League
1767,Matchbet + Both Teams to Score
1768,To Qualify
1769,Correct Score (incl other) 2
1770,Last goalscorer
1771,1st Half - First team to score
1772,1st Half - Correct Score 2
1773,1st Half - Totals Home
1774,1st Half - Totals Away
1775,1st Half - Clean Sheet Home Team
1776,1st Half - Clean Sheet Away Team
1777,1st Half - European Handicap
1778,2nd Half - Totals Home
1779,2nd Half - Totals Away
1780,2nd Half - Clean Sheet Home Team
1781,2nd Half - Clean Sheet Away Team
1782,2nd Half - Correct Score
1783,2nd Half - Correct Score 2
1784,2nd Half - First Team to score
1785,2nd Half - European Handicap
1786,Home No Bet
1787,Away No Bet
1788,Home Win To Nil
1789,Away Win To Nil
1790,Odd / Even Home Team
1791,Odd / Even Away Team
1792,First Half - Matchbet + Totals
1793,First Half - Matchbet + Both Teams To Score
1794,Both Score + Totals
1795,Expected Total and Supremacy
1796,Correct Frame Score (best of 7 frames)
1797,Correct Frame Score (best of 9 frames)
1798,Correct Frame Score (best of 11 frames)
1799,3way (after 10 overs)
1800,runs hometeam (after 10 overs)
1801,runs awayteam (after 10 overs)
1802,multiple runs hometeam (after 10 overs)
1803,multiple runs awayteam (after 10 overs)
1804,3way (after 6 overs)
1805,runs hometeam (after 6 overs)
1806,runs awayteam (after 6 overs)
1807,multiple runs hometeam (after 6 overs)
1808,multiple runs awayteam (after 6 overs)
1809,Total ranges Home Team (excl. superovers)
1810,Total ranges Away Team (excl. superovers)
1811,How many runs highest scoring over
1812,Which team highest scoring overs
1813,1st Leg – Winner
1814,First player to score a 180
1815,Most 180s
1816,Handicap 180s
1817,Total 180s
1818,180s - Player 1
1819,180s - Player 2
1820,Set Handicap
1821,Correct Set Score (BO7)
1822,Correct Set Score (BO9)
1823,Correct Set Score (BO11)
1824,Correct Set Score (BO13)
1825,Correct Set Score (BO15)
1826,1st Set – Correct Leg Score (BO5)
1827,1st Set – Correct Leg Score (BO11)
1828,1st Set – Correct Leg Score (BO12)
1829,1st Set – Correct Leg Score (BO17)
1830,1st Set – Correct Leg Score (BO19)
1831,1st Set – Correct Leg Score (BO21)
1832,Handicap
1833,Correct score
1834,3 Way
1835,2 Way
1836,Totals
1837,Handicap
1838,Correct score
1839,3 Way
1840,2 Way
1841,Totals
1842,1st Set – Correct Score
1843,1st Set – Tiebreak Played?
1844,1st Set Player 1
1845,1st Set Player 2
1846,1st Set Winner 3 way
1847,Any Set To Nil
1848,Double Result
1849,Player 1 to win a set
1850,Player 2 to win a set
1851,Set Handicap
1852,Tiebreak Played?
1853,US Spread
1854,US Spread
1855,US Spread
1856,US Spread
1857,US Total
1858,US Total
1859,US Total
1860,US Total
1861,Winner
1862,2 Way
1863,Total Games – Player 2
1864,Game Handicap
1865,1st Set – Total
1866,1st Set – Game Handicap
1867,Total Games - Player 1
1868,Odd / Even Number Of Games
1869,3 Way
1870,Set Handicap
1871,1st Set – Total
1872,1st Set Handicap
1873,1st Period - Draw no bet
1874,Total number of sets (best of 3)
1875,Correct score
1876,2 Way
1877,Correct Score AAMS
1878,1st Set Handicap
1879,1st Set Odd/even
1880,1st Set Total
1881,Asian Handicap
1882,Correct Set Score (best of 3)
1883,Correct Set Score (best of 5)
1884,How many sets will exceed score limit (best of 3)
1885,Total
1886,Total number of sets (best of 3)
1887,Total number of sets (best of 5)
1888,Who wins fifth set
1889,Who wins first set
1890,Who wins fourth set
1891,Who wins second set
1892,Who wins third set
1893,Total Goals AAMS
1894,Both Teams To Score 1st Half / 2nd Half
1895,Asian Handicap Main Line
1896,2nd Half - Matchbet and Total
1897,2nd Half - Matchbet and Both Teams Score
1898,Double Chance and Total
1899,Double Chance and Both Teams Score
